2950	2.93
2952.5	2.92
2955	3.16
2957.5	3.23
2960	3.08
2962.5	3.18
2965	3.16
2967.5	3.35
2970	3.3
2972.5	3.33
2975	3.48
2977.5	3.43
2980	3.45
2982.5	3.26
2985	3.07
2987.5	3.15
2990	3.18
2992.5	3.21
2995	3.2
2997.5	3.22
3000	3.36
3005	3.44
3010	3.46
3015	3.52
3020	3.49
3025	3.32
3030	3.13
3035	3.09
3040	3.23
3045	3.31
3050	3.33
3055	3.14
3060	2.95
3065	3.05
3070	3.09
3075	3.1
3080	3.09
3085	2.94
3090	3.18
3095	3.18
3100	3.08
3105	3.06
3110	3.13
3115	3.22
3120	3.26
3125	3.34
3130	3.38
3135	3.45
3140	3.38
3145	3.35
3150	3.16
3155	2.95
3160	3.01
3165	3.04
3170	3.14
3175	3.19
3180	3.16
3185	3.08
3190	2.95
3195	3.09
3200	3.02
3205	3
3210	3.02
3215	3.2
3220	3.13
3225	3.21
3230	3.13
3235	3.24
3240	3.04
3245	3.04
3250	3.03
3255	3.17
3260	3.16
3265	3.32
3270	3.27
3275	3.33
3280	3.26
3285	3.4
3290	3.65
3295	3.74
3300	3.71
3305	3.42
3310	3.37
3315	3.22
3320	3.1
3325	3.2
3330	3.21
3335	3.25
3340	3.41
3345	3.31
3350	3.18
3355	3.22
3360	3.17
3365	3.11
3370	3.15
3375	3.35
3380	3.35
3385	3.25
3390	3.16
3395	3.08
3400	3.13
3405	3.14
3410	3.08
3415	2.99
3420	3.1
3425	3.2
3430	3.11
3435	2.9
3440	2.9
3445	3.04
3450	3.12
3455	3.03
3460	3.07
3465	3.23
3470	3.09
3475	2.92
3480	2.89
3485	3
3490	2.98
3495	3.06
3500	2.93
3505	2.95
3510	2.97
3515	3.04
3520	3.11
3525	3.18
3530	3.14
3535	3.01
3540	2.92
3545	3.01
3550	3.11
3555	3.12
3560	3.14
3565	3.05
3570	2.89
3575	2.94
3580	3.18
3585	3.16
3590	3.15
3595	2.99
3600	3
3605	3.09
3610	2.93
